;Sec;Wind;Rpm;Omega;Lambda;Cp;Power;Torque;LoadTorque;GenPower;;
0;0;8,33333333333333;39,1981146741834;4,10481676915181;0,01256637;0,0193314431899908;20,5250001435716;195,999323370917;0,005;3,84123048118484E-07;;
10;1;8,50783081684584;43,1703668334506;4,52079002220723;0,525174065219648;0,0111;12,5412880702212;2,72945074834188;0,213335795284121;4,65920142667752E-07;;
20;2;8,68211570205396;47,9641705886093;5,02279595299652;0,5728055514434;0,0111;13,3279181117671;2,60717815575195;0,237451218462681;5,75140414488163E-07;;
30;3;8,8559756496716;52,1254531335549;5,45856442078259;0,614391579701582;0,0113799667826811;14,5014979341424;2,5650811774038;0,851888032108656;6,72780887565753E-07;;
40;4;9,02919883813366;56,3812221193623;5,90422748503409;0,651966279093373;0,0128480924562501;17,351975815279;2,8349482753991;0,974143368136407;7,86502114970136E-07;;
50;5;9,20157422166798;61,0907484004477;6,39740789980778;0,693334706994537;0,0146963621554106;21,0067504235567;3,16475172594501;1,1186411332782;5,16362011325869;;
60;6;9,37289178742213;65,7073742932648;6,88085980914712;0,72880304150779;0,0164697382911872;24,8811320784369;3,56907993021519;1,18800247270056;5,97353783042976;;
70;7;9,54294281133167;70,8030196403199;7,41447451597939;0,771008858079771;0,0188009834953229;29,9771375890074;3,99078458801517;1,27960301307162;6,93596595664681;;
80;8;9,71152011241833;76,6394281892953;8,02566176012596;0,819683882072034;0,0217792150826309;36,5987704255016;4,50166583100335;1,38441779974786;8,12658167025466;;
90;9;9,87841830520807;83,3874842028266;8,73231649884895;0,876309353481944;0,0256209538900115;45,3127230832533;5,12319212079577;1,50549190616545;9,62066595416165;;
100;10;10,0822171753779;91,2610908635792;9,5568386199613;0,93906770348901;0,0303335171265129;57,0365886823185;5,89400467995141;1,64659395909662;11,5232425691141;;
110;11;10,2451494258291;100,543266669733;10,5288657498378;1,01745259856491;0,0368581541420819;72,7195365380187;6,82224452696276;1,81286743400959;13,9865104952581;;
120;12;10,4057996741285;111,527323977658;11,6791134851094;1,11040849224261;0,045459673237369;93,9756464337514;7,95063168129605;2,00951753687313;17,2094089985263;;
130;13;10,5639721926949;124,578266092864;13,0458048806782;1,22092277397156;0,0568126073294328;122,882234086305;9,31039008039561;2,24310193115074;21,4727642820934;;
140;14;10,719474272679;140,103961378611;14,6716518095778;1,35226877980432;0,0717430014993979;162,129719198973;10,9266945455442;2,52098390475582;27,1584026322857;;
150;15;10,8721164587495;158,532077903367;16,6014395650211;1,50779036164969;0,0911872769544369;215,000348429766;12,8096926576216;2,85094358675727;34,7726425946302;;
160;16;11,0217127799155;180,268130082208;18,8776335151763;1,69052998056061;0,116074872891152;285,133414128447;14,9434389134735;3,24045154415189;44,9615526614987;;
170;17;11,1680809761033;205,632402490603;21,5337737807153;1,90268928677302;0,147104336504874;375,944527769803;17,2744298941493;3,69555774078264;58,5041254785685;;
180;18;11,3110427202119;234,77991404796;24,5860939041239;2,1449656313022;0,184412044268677;489,620777937322;19,7038844839874;4,21945680882901;76,2649994171167;;
190;19;11,4504238353778;267,617346326952;28,0248216030218;2,41588893649762;0,227200109860469;625,800424504212;22,0893234434743;4,81096383740478;99,090475537562;;
200;20;11,6248258188827;303,765153292659;31,8102109115189;2,70231804644742;0,27208457808555;784,19834042605;24,382375731293;5,46331801342687;127,667189102126;;
210;21;11,7565408022443;342,71129892051;35,8886415451311;3,01697823539864;0,319021447356506;951,089039578431;26,1942364035345;6,16858136846032;162,502571842417;;
220;22;11,884179622745;383,252818967228;40,1341393890434;3,34083972861762;0,362580921534058;1116,54234859797;27,483592394215;6,90491622870515;203,223585105899;;
230;23;12,0075867721433;424,209038329898;44,4230644416473;3,66378340811977;0,399073463759514;1267,60131522536;28,1754284722195;7,65101565280453;248,979292022645;;
240;24;12,126611897837;464,388399197096;48,6306370668201;3,97588398001619;0,425837200265651;1393,23592057431;28,277532168145;8,38507104258851;298,377531744563;;
250;25;12,2411099860449;502,737438061013;52,6465388293897;4,26866514002159;0,441788014254151;1486,75346364614;27,8675865910085;9,08754245279214;349,692121630122;;
260;26;12,3509415384836;538,447268649875;56,3860633611978;4,5359457897361;0,447446584170025;1546,69266021143;27,0679741583832;9,74319706789106;401,134254045441;;
270;27;12,4559727423247;570,999617138475;59,7949371568368;4,77414767061648;0,444522542968781;1576,12031627001;26,0158083268823;10,3420602262981;451,102284816778;;
280;28;12,5560756332252;600,156663792084;62,8482557931411;4,98212115627801;0,435306399562127;1580,95478927743;24,8380968282523;10,8793205441691;498,347929158247;;
290;29;12,6511282512321;625,91300607096;65,5454535174994;5,16066215967945;0,422116727320618;1568,13326311977;23,6368739096354;11,3545062243837;542,040010112769;;
300;30;12,7797624772398;648,493286225542;67,9100548102172;5,29580664876193;0,408733317104751;1565,20424029289;22,7945666178342;11,7703253574257;581,85445140385;;
310;31;12,8643734226123;668,584036997961;70,0139532084172;5,42693350088656;0,392842049218591;1534,42798890746;21,6833891067772;12,1416218668627;618,465387321392;;
